--------------- Name --------------------- Total ------ preSe ------- Sel
BC95BE41-355A-6647-BA33-5D636314A1BE ----> 007000 ----> 007000 ----> 002795
C900B543-5B58-FF40-A266-C80AAA50D8DE ----> 002000 ----> 002000 ----> 000831
EE1DA73C-B9E0-1846-8E5E-783784AC1C7F ----> 001000 ----> 001000 ----> 000422
789ACED0-73A8-1341-9F25-851051296E6D ----> 004000 ----> 004000 ----> 001566
5F9EC5C2-9B79-C346-968E-023FCD81AE4C ----> 006000 ----> 006000 ----> 002432
147A56C1-E191-3842-84BB-81A243C2A4AD ----> 004000 ----> 004000 ----> 001589
D606F956-EC33-3042-A646-1164DB001297 ----> 337000 ----> 337000 ----> 135238
242EF25D-09AA-434F-A91E-2269385D3A58 ----> 074000 ----> 074000 ----> 029434
C0EAC37F-AFAD-6E4C-A589-F436DB50030B ----> 004000 ----> 004000 ----> 001593
E8163525-AA9F-8C41-B0C5-D64DF8B98C08 ----> 009000 ----> 009000 ----> 003656
