--------------- Name -------------------- Total ---- preSe - hardSel --------- Sel
E27335A0-E4BA-3E42-AA60-E551C57209BA --> 1113169 --> 36602 --> 2 -relaxedCut-> 27
D272CF57-AF71-1540-8E46-6B3CAEC888A2 --> 1711234 --> 56028 --> 0 -relaxedCut-> 40
A5A6977E-B908-7348-818E-E6DE1C5B569F --> 1928829 --> 63644 --> 2 -relaxedCut-> 56
BB9CEC64-DAB0-424C-B36E-840FB52120F3 --> 1938011 --> 63075 --> 2 -relaxedCut-> 57
7196798E-672E-7B41-9450-B020213D8972 --> 1120118 --> 36674 --> 1 -relaxedCut-> 25
AA63D9BF-891B-084D-BE35-D76C69215BCA --> 1345802 --> 44191 --> 1 -relaxedCut-> 21
FA090F58-A366-3848-A42F-6E111A012A05 --> 0677788 --> 22231 --> 1 -relaxedCut-> 20
4EB560ED-BD7A-014F-A965-48794733798E --> 0995150 --> 33002 --> 0 -relaxedCut-> 20
3955EE12-4B7E-E94B-B62B-9A330BB7DF05 --> 1180606 --> 39062 --> 0 -relaxedCut-> 32
DF985B6A-8CBB-1745-9AC7-12444C7CC1EC --> 1391501 --> 45550 --> 0 -relaxedCut-> 28
61A87658-C1FC-8844-8489-3E142044E542 --> 1971681 --> 64864 --> 0 -relaxedCut-> 48
D2EF2DA7-B36E-C34A-8B63-AA678DEC6338 --> 1498442 --> 48961 --> 0 -relaxedCut-> 33
4DA5E108-3E3A-E443-A4A4-B6A16A7F265C --> 1938299 --> 63814 --> 0 -relaxedCut-> 47
8394D248-5855-4943-9AEF-6A462FBA21BE --> 1590581 --> 52487 --> 2 -relaxedCut-> 50
8A34407D-876B-8243-B328-7A24584E28CC --> 0926182 --> 30085 --> 0 -relaxedCut-> 23
8F505753-DFD6-9643-9C4D-085B6CEFA81F --> 0008517 --> 00259 --> 0 -relaxedCut-> 00
